id,make,model,year,price,features,stock,image,description
V03781,Jaguar,Model 6,2024,129558,"Air Suspension,Navigation,360 Camera,Adaptive Cruise,Automatic Parking,Lane Assist,Blind Spot Monitor,Ventilated Seats,Electric,Leather Seats,Power Tailgate",7,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-6623688.jpg,The 2024 Jaguar Model 6 is a luxury vehicle perfect for off-road adventures.
V03782,Honda,CR-V,2022,171082,"Rear Camera,Electric,Turbo,Power Tailgate,Wireless Charging,7 Seater",8,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-4647950.jpg,The 2022 Honda CR-V is a luxury vehicle perfect for daily commute.
V03783,Mercedes,E-Class,2021,181215,"Heated Seats,Eco Mode,Ventilated Seats,Premium Sound,4WD,Lane Assist,V8 Engine,Blind Spot Monitor,LED Headlights,Keyless Entry,Electric,Ambient Lighting,Automatic Parking,Turbo,Cruise Control",0,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-3927779.jpg,The 2021 Mercedes E-Class is a luxury vehicle perfect for off-road adventures.
V03784,Hyundai,Model 10,2021,261581,"7 Seater,Electric,Android Auto,Blind Spot Monitor,V6 Engine,Wireless Charging,Panoramic Roof,Navigation,4WD",1,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-1187926.jpg,The 2021 Hyundai Model 10 is a premium vehicle perfect for city driving.
V03785,Honda,Pilot,2020,209729,"Premium Sound,7 Seater,Hybrid,Rear Camera,Eco Mode",2,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-5301786.jpg,The 2020 Honda Pilot is a family-friendly vehicle perfect for long trips.
V03786,Mercedes,E-Class,2025,544574,"AWD,Sport Mode,Rear Camera,V8 Engine,LED Headlights,Ventilated Seats",10,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-1588673.jpg,The 2025 Mercedes E-Class is a family-friendly vehicle perfect for city driving.
V03787,Toyota,Camry,2022,194256,"Leather Seats,LED Headlights,Android Auto,Cruise Control,Automatic Parking",5,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-9668794.jpg,The 2022 Toyota Camry is a luxury vehicle perfect for off-road adventures.
V03788,Tesla,Model Y,2020,411704,"Panoramic Roof,Wireless Charging,Sport Mode,Navigation,Heated Seats,Adaptive Cruise,Leather Seats,4WD,Keyless Entry",10,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-3219224.jpg,The 2020 Tesla Model Y is a sporty vehicle perfect for city driving.
V03789,Volkswagen,Model 5,2025,164944,"Bluetooth,Rear Camera,Air Suspension,AWD,Parking Sensors,Turbo,Eco Mode,Sport Mode,Hybrid,V8 Engine,360 Camera,Blind Spot Monitor,Electric,Leather Seats,Android Auto",5,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-3782617.jpg,The 2025 Volkswagen Model 5 is a luxury vehicle perfect for city driving.
V03790,Chevrolet,Model 3,2020,67508,"Sunroof,Apple CarPlay,Navigation,Eco Mode,Heated Seats,Automatic Parking,Turbo,Blind Spot Monitor,Panoramic Roof,Parking Sensors,V8 Engine",0,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-3684057.jpg,The 2020 Chevrolet Model 3 is a sporty vehicle perfect for daily commute.
V03791,Nissan,Pathfinder,2020,94917,"Automatic Parking,V6 Engine,Hybrid,Bluetooth,Apple CarPlay,Rear Camera,Adaptive Cruise,Navigation,360 Camera,Premium Sound",2,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-3646054.jpg,The 2020 Nissan Pathfinder is a reliable vehicle perfect for off-road adventures.
V03792,Porsche,Model 10,2022,334439,"360 Camera,Panoramic Roof,Premium Sound,Ambient Lighting,Power Tailgate,Eco Mode,Navigation,Bluetooth,Hybrid,7 Seater,Automatic Parking,AWD",2,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-8314786.jpg,The 2022 Porsche Model 10 is a family-friendly vehicle perfect for long trips.
V03793,Mazda,Model 7,2020,235315,"AWD,Power Tailgate,Sunroof,V6 Engine,Apple CarPlay,Parking Sensors,Rear Camera,Air Suspension",5,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-2953083.jpg,The 2020 Mazda Model 7 is a reliable vehicle perfect for off-road adventures.
V03794,Volkswagen,Model 2,2024,155684,"Turbo,Sunroof,Wireless Charging,Lane Assist,Navigation,Automatic Parking,Cruise Control,Air Suspension,Keyless Entry,Parking Sensors,Rear Camera,4WD",2,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-3547984.jpg,The 2024 Volkswagen Model 2 is a sporty vehicle perfect for city driving.
V03795,Porsche,Model 3,2023,307240,"Bluetooth,Ambient Lighting,Apple CarPlay,4WD,Sport Mode",2,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-6077241.jpg,The 2023 Porsche Model 3 is a sporty vehicle perfect for daily commute.
V03796,Volvo,Model 8,2021,257618,"Android Auto,Turbo,Lane Assist,V6 Engine,Leather Seats,Ambient Lighting,V8 Engine,Cruise Control,Electric,Bluetooth,Air Suspension",5,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-8466456.jpg,The 2021 Volvo Model 8 is a luxury vehicle perfect for long trips.
V03797,Jaguar,Model 8,2022,114091,"Heated Seats,Automatic Parking,LED Headlights,Ambient Lighting,Turbo,Adaptive Cruise,Blind Spot Monitor,4WD,Air Suspension,Parking Sensors,Apple CarPlay,Keyless Entry,Sport Mode,Bluetooth",5,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-6918656.jpg,The 2022 Jaguar Model 8 is a premium vehicle perfect for daily commute.
V03798,Toyota,Prado,2023,84023,"Automatic Parking,Android Auto,Bluetooth,V6 Engine,Rear Camera",6,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-5071995.jpg,The 2023 Toyota Prado is a reliable vehicle perfect for long trips.
V03799,Lexus,Model 3,2020,276120,"Navigation,Keyless Entry,Heated Seats,Android Auto,AWD,Cruise Control,Electric,Lane Assist,Air Suspension,Turbo,Adaptive Cruise,Sport Mode",10,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-4253195.jpg,The 2020 Lexus Model 3 is a premium vehicle perfect for off-road adventures.
V03800,Land Rover,Range Rover,2025,552895,"Electric,Leather Seats,V8 Engine,V6 Engine,Turbo,Keyless Entry,Panoramic Roof,Wireless Charging",8,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-9901624.jpg,The 2025 Land Rover Range Rover is a reliable vehicle perfect for long trips.
V03801,Hyundai,Model 3,2020,284406,"360 Camera,Push Start,Android Auto,Electric,Lane Assist,Wireless Charging,Apple CarPlay",6,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-4871788.jpg,The 2020 Hyundai Model 3 is a premium vehicle perfect for city driving.
V03802,Toyota,RAV4,2021,129570,"Ambient Lighting,Blind Spot Monitor,Ventilated Seats,Electric,360 Camera,Premium Sound,Rear Camera,Panoramic Roof,Sunroof,Wireless Charging,Bluetooth,7 Seater,Leather Seats,Push Start,Air Suspension",1,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-9690251.jpg,The 2021 Toyota RAV4 is a reliable vehicle perfect for daily commute.
V03803,Porsche,Model 3,2022,288230,"Heated Seats,Rear Camera,Navigation,Turbo,Cruise Control,Air Suspension,Adaptive Cruise,AWD,Sunroof,4WD",8,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-9845640.jpg,The 2022 Porsche Model 3 is a premium vehicle perfect for city driving.
V03804,Subaru,Model 1,2021,278292,"Push Start,Bluetooth,Sport Mode,V6 Engine,LED Headlights,Sunroof,Electric,AWD,Apple CarPlay,Lane Assist,4WD",0,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-6812847.jpg,The 2021 Subaru Model 1 is a reliable vehicle perfect for off-road adventures.
V03805,Audi,A6,2021,462268,"Adaptive Cruise,Panoramic Roof,Electric,Premium Sound,Bluetooth,Android Auto,Heated Seats,V8 Engine,Turbo,Sport Mode",10,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-9669227.jpg,The 2021 Audi A6 is a sporty vehicle perfect for off-road adventures.
V03806,Jaguar,Model 7,2024,271472,"360 Camera,Android Auto,Lane Assist,Power Tailgate,Rear Camera,V6 Engine,Air Suspension,Ventilated Seats,Blind Spot Monitor,Ambient Lighting,Push Start,Keyless Entry,V8 Engine,Leather Seats,Bluetooth",4,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-1045606.jpg,The 2024 Jaguar Model 7 is a family-friendly vehicle perfect for off-road adventures.
V03807,Honda,Pilot,2021,121856,"Push Start,Lane Assist,Parking Sensors,Hybrid,Turbo,Electric,V6 Engine,Blind Spot Monitor,Android Auto,V8 Engine,4WD",8,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-1781120.jpg,The 2021 Honda Pilot is a luxury vehicle perfect for daily commute.
V03808,Chevrolet,Model 4,2023,74807,"Ventilated Seats,Automatic Parking,Apple CarPlay,Adaptive Cruise,Keyless Entry,Sport Mode,Lane Assist,Air Suspension,Hybrid,Leather Seats",1,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-4757951.jpg,The 2023 Chevrolet Model 4 is a premium vehicle perfect for daily commute.
V03809,Chevrolet,Model 10,2021,250901,"Sport Mode,360 Camera,V6 Engine,Automatic Parking,Adaptive Cruise,7 Seater,Air Suspension,Turbo,Panoramic Roof",8,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-1779491.jpg,The 2021 Chevrolet Model 10 is a family-friendly vehicle perfect for long trips.
V03810,Nissan,Altima,2020,103195,"Bluetooth,Rear Camera,Power Tailgate,Sport Mode,Premium Sound,Keyless Entry",8,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-3834824.jpg,The 2020 Nissan Altima is a reliable vehicle perfect for city driving.
V03811,Volkswagen,Model 10,2023,59479,"Push Start,Leather Seats,Turbo,Panoramic Roof,Air Suspension,360 Camera,4WD",8,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-5172953.jpg,The 2023 Volkswagen Model 10 is a sporty vehicle perfect for city driving.
V03812,Kia,Model 6,2021,254432,"Premium Sound,V8 Engine,Power Tailgate,Wireless Charging,V6 Engine",3,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-2895879.jpg,The 2021 Kia Model 6 is a premium vehicle perfect for off-road adventures.
V03813,Honda,CR-V,2022,129236,"Keyless Entry,Bluetooth,Leather Seats,Power Tailgate,AWD,Electric,Apple CarPlay,Blind Spot Monitor,LED Headlights",6,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-3051407.jpg,The 2022 Honda CR-V is a premium vehicle perfect for city driving.
V03814,Kia,Model 6,2020,292427,"7 Seater,Adaptive Cruise,Heated Seats,Push Start,LED Headlights,Parking Sensors,Panoramic Roof",5,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-6112065.jpg,The 2020 Kia Model 6 is a reliable vehicle perfect for long trips.
V03815,Nissan,Pathfinder,2024,149387,"Parking Sensors,LED Headlights,Ambient Lighting,Push Start,Blind Spot Monitor,Leather Seats,Android Auto",9,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-4203803.jpg,The 2024 Nissan Pathfinder is a family-friendly vehicle perfect for long trips.
V03816,Volkswagen,Model 5,2023,249776,"Power Tailgate,Keyless Entry,360 Camera,7 Seater,Panoramic Roof,Lane Assist,Parking Sensors,Air Suspension,Apple CarPlay,Eco Mode",6,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-7801082.jpg,The 2023 Volkswagen Model 5 is a reliable vehicle perfect for off-road adventures.
V03817,Mercedes,GLC,2025,586271,"Electric,V6 Engine,Air Suspension,Sunroof,Android Auto,Turbo,Navigation,AWD,Wireless Charging,Leather Seats,Bluetooth,Parking Sensors",4,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-3398569.jpg,The 2025 Mercedes GLC is a luxury vehicle perfect for long trips.
V03818,Kia,Model 5,2023,284484,"Panoramic Roof,4WD,Blind Spot Monitor,Android Auto,Bluetooth,Lane Assist,Parking Sensors,Electric,Adaptive Cruise,Wireless Charging,Hybrid,7 Seater,Automatic Parking,Keyless Entry,Turbo",2,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-1924327.jpg,The 2023 Kia Model 5 is a luxury vehicle perfect for daily commute.
V03819,Mazda,Model 10,2023,81154,"Leather Seats,Hybrid,Panoramic Roof,4WD,Air Suspension,AWD,Sport Mode,Eco Mode,Navigation,Wireless Charging,Apple CarPlay,Adaptive Cruise",2,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-8121595.jpg,The 2023 Mazda Model 10 is a reliable vehicle perfect for long trips.
V03820,Chevrolet,Model 1,2022,136497,"Apple CarPlay,Ambient Lighting,Leather Seats,V6 Engine,Rear Camera,Wireless Charging,Blind Spot Monitor,Hybrid,Sunroof,Cruise Control,Automatic Parking,AWD",9,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-3309923.jpg,The 2022 Chevrolet Model 1 is a sporty vehicle perfect for off-road adventures.
V03821,Honda,Pilot,2020,83281,"Heated Seats,Blind Spot Monitor,Electric,LED Headlights,Parking Sensors,Power Tailgate,Navigation,Turbo,Wireless Charging,Bluetooth,Keyless Entry,Panoramic Roof,360 Camera",10,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-7737142.jpg,The 2020 Honda Pilot is a sporty vehicle perfect for daily commute.
V03822,Toyota,Corolla,2022,173536,"Panoramic Roof,Sport Mode,Eco Mode,Electric,Ventilated Seats,Rear Camera,V8 Engine",6,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-8175356.jpg,The 2022 Toyota Corolla is a sporty vehicle perfect for city driving.
V03823,BMW,5 Series,2020,402470,"Air Suspension,Premium Sound,V6 Engine,Electric,Leather Seats,Turbo,Adaptive Cruise,Lane Assist,Bluetooth,Ventilated Seats,LED Headlights,7 Seater",5,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-5144341.jpg,The 2020 BMW 5 Series is a sporty vehicle perfect for city driving.
V03824,Audi,Q5,2025,305890,"Android Auto,Keyless Entry,Automatic Parking,Blind Spot Monitor,Navigation,Air Suspension",0,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-6672589.jpg,The 2025 Audi Q5 is a family-friendly vehicle perfect for daily commute.
V03825,Porsche,Model 10,2020,187270,"Electric,360 Camera,Ventilated Seats,Blind Spot Monitor,Rear Camera,LED Headlights,Android Auto",6,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-9571712.jpg,The 2020 Porsche Model 10 is a luxury vehicle perfect for city driving.
V03826,Audi,A4,2022,481160,"Sport Mode,LED Headlights,Panoramic Roof,Heated Seats,AWD,Sunroof,Turbo,Electric,Adaptive Cruise,Premium Sound,Leather Seats,Parking Sensors",7,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-8218495.jpg,The 2022 Audi A4 is a reliable vehicle perfect for daily commute.
V03827,Porsche,Model 10,2022,249857,"4WD,Power Tailgate,Electric,Navigation,AWD,Heated Seats,Ambient Lighting,Eco Mode,Adaptive Cruise,7 Seater,Turbo,Blind Spot Monitor,Cruise Control,Air Suspension,Android Auto",0,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-8161133.jpg,The 2022 Porsche Model 10 is a sporty vehicle perfect for daily commute.
V03828,Porsche,Model 1,2023,545171,"Heated Seats,Parking Sensors,Rear Camera,Air Suspension,Ventilated Seats,4WD,Sunroof,Bluetooth,V8 Engine,Eco Mode,Panoramic Roof",9,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-9455458.jpg,The 2023 Porsche Model 1 is a premium vehicle perfect for city driving.
V03829,Porsche,Model 2,2024,272775,"Hybrid,7 Seater,Wireless Charging,Sunroof,Parking Sensors,Apple CarPlay,Eco Mode,Push Start,360 Camera,Bluetooth",0,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-3732586.jpg,The 2024 Porsche Model 2 is a luxury vehicle perfect for long trips.
V03830,Honda,Odyssey,2025,221490,"Sport Mode,Lane Assist,Eco Mode,Blind Spot Monitor,Premium Sound,Hybrid",7,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-7807621.jpg,The 2025 Honda Odyssey is a reliable vehicle perfect for long trips.
V03831,Lexus,Model 5,2025,113175,"Wireless Charging,Sunroof,7 Seater,Automatic Parking,Leather Seats,Adaptive Cruise,Hybrid,Lane Assist,Air Suspension",6,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-1587657.jpg,The 2025 Lexus Model 5 is a premium vehicle perfect for long trips.
V03832,Kia,Model 9,2024,262892,"AWD,Turbo,Hybrid,Android Auto,V8 Engine,Sport Mode,Eco Mode,Sunroof,Electric,Rear Camera,Keyless Entry",10,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-7044428.jpg,The 2024 Kia Model 9 is a family-friendly vehicle perfect for off-road adventures.
V03833,Audi,A8,2023,455735,"Automatic Parking,Sport Mode,LED Headlights,Navigation,Push Start,4WD,Premium Sound,Sunroof,Lane Assist,Wireless Charging,Android Auto,Cruise Control,Turbo,Power Tailgate",9,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-6930105.jpg,The 2023 Audi A8 is a reliable vehicle perfect for city driving.
V03834,Kia,Model 4,2023,106154,"Android Auto,V6 Engine,Apple CarPlay,Air Suspension,Navigation,Ambient Lighting,Cruise Control,Sunroof,Adaptive Cruise,360 Camera,Keyless Entry,Automatic Parking,Leather Seats",1,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-9600682.jpg,The 2023 Kia Model 4 is a sporty vehicle perfect for daily commute.
V03835,Porsche,Model 10,2024,215086,"LED Headlights,Power Tailgate,Android Auto,Turbo,Lane Assist,Adaptive Cruise,Automatic Parking",6,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-6070603.jpg,The 2024 Porsche Model 10 is a premium vehicle perfect for daily commute.
V03836,Subaru,Model 5,2021,290766,"Lane Assist,Ventilated Seats,Power Tailgate,Premium Sound,Electric,Android Auto",8,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-9687742.jpg,The 2021 Subaru Model 5 is a premium vehicle perfect for off-road adventures.
V03837,Mazda,Model 4,2021,93567,"Apple CarPlay,Bluetooth,Lane Assist,V8 Engine,360 Camera,Premium Sound,Electric,Ventilated Seats,Navigation,V6 Engine",7,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-1362302.jpg,The 2021 Mazda Model 4 is a reliable vehicle perfect for city driving.
V03838,Jaguar,Model 1,2024,82418,"Sunroof,Lane Assist,AWD,Wireless Charging,Premium Sound,Android Auto,Keyless Entry,4WD,360 Camera,Cruise Control,Navigation",6,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-8970226.jpg,The 2024 Jaguar Model 1 is a reliable vehicle perfect for daily commute.
V03839,Hyundai,Model 8,2021,213960,"Power Tailgate,V6 Engine,360 Camera,Push Start,Sunroof,Cruise Control,Blind Spot Monitor,Wireless Charging,4WD",1,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-6158669.jpg,The 2021 Hyundai Model 8 is a reliable vehicle perfect for daily commute.
V03840,Chevrolet,Model 3,2020,166650,"4WD,Turbo,Leather Seats,LED Headlights,V6 Engine,V8 Engine,Android Auto,Hybrid,Electric,Lane Assist,Parking Sensors",2,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-5996977.jpg,The 2020 Chevrolet Model 3 is a premium vehicle perfect for long trips.
V03841,Toyota,Camry,2021,140331,"V8 Engine,Blind Spot Monitor,Premium Sound,Cruise Control,7 Seater",4,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-3144152.jpg,The 2021 Toyota Camry is a reliable vehicle perfect for city driving.
V03842,Lexus,Model 2,2021,73342,"Power Tailgate,Lane Assist,Cruise Control,Leather Seats,Sport Mode,AWD,Wireless Charging,Heated Seats,V8 Engine,Ambient Lighting,LED Headlights,Android Auto",2,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-5009851.jpg,The 2021 Lexus Model 2 is a family-friendly vehicle perfect for long trips.
V03843,Honda,Odyssey,2025,212322,"Cruise Control,4WD,Wireless Charging,Parking Sensors,AWD,Heated Seats,Blind Spot Monitor,Power Tailgate,Push Start,Premium Sound,Air Suspension,Electric",8,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-7800311.jpg,The 2025 Honda Odyssey is a reliable vehicle perfect for city driving.
V03844,BMW,3 Series,2021,371097,"Android Auto,Panoramic Roof,Parking Sensors,V8 Engine,Rear Camera,Push Start,Turbo,Sunroof,Premium Sound,7 Seater",8,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-3028809.jpg,The 2021 BMW 3 Series is a reliable vehicle perfect for off-road adventures.
V03845,Mitsubishi,Model 2,2023,289275,"Air Suspension,Electric,Leather Seats,360 Camera,Lane Assist,Sport Mode,Blind Spot Monitor,Wireless Charging,Android Auto,LED Headlights,V8 Engine,Rear Camera,Ventilated Seats,Cruise Control,Navigation",2,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-8689351.jpg,The 2023 Mitsubishi Model 2 is a premium vehicle perfect for daily commute.
V03846,Subaru,Model 3,2022,117284,"7 Seater,Leather Seats,Ventilated Seats,Keyless Entry,360 Camera,Adaptive Cruise,Rear Camera,Blind Spot Monitor,Bluetooth,Push Start,Premium Sound",8,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-7893967.jpg,The 2022 Subaru Model 3 is a reliable vehicle perfect for daily commute.
V03847,Hyundai,Model 10,2022,149396,"Panoramic Roof,Ambient Lighting,Wireless Charging,AWD,V8 Engine,Heated Seats,V6 Engine,Ventilated Seats,Apple CarPlay,Blind Spot Monitor,Push Start,Sunroof",8,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-9118442.jpg,The 2022 Hyundai Model 10 is a luxury vehicle perfect for off-road adventures.
V03848,Nissan,Pathfinder,2024,231651,"Heated Seats,Cruise Control,Android Auto,V6 Engine,Push Start",2,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-4158241.jpg,The 2024 Nissan Pathfinder is a sporty vehicle perfect for long trips.
V03849,Honda,Accord,2021,142286,"Bluetooth,Apple CarPlay,Air Suspension,Navigation,Sunroof,Wireless Charging,AWD,V8 Engine,Electric",4,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-2219014.jpg,The 2021 Honda Accord is a family-friendly vehicle perfect for daily commute.
V03850,Ford,Explorer,2023,111532,"Adaptive Cruise,Panoramic Roof,LED Headlights,Automatic Parking,Heated Seats,7 Seater,Lane Assist,V6 Engine",5,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-7588489.jpg,The 2023 Ford Explorer is a reliable vehicle perfect for long trips.
V03851,Subaru,Model 10,2025,163866,"Wireless Charging,Ambient Lighting,Lane Assist,Sunroof,Power Tailgate,Rear Camera,Turbo,Bluetooth,Adaptive Cruise",7,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-8212950.jpg,The 2025 Subaru Model 10 is a sporty vehicle perfect for city driving.
V03852,Toyota,Land Cruiser,2021,164835,"Adaptive Cruise,Power Tailgate,Keyless Entry,V6 Engine,Heated Seats,Sunroof,Navigation,Eco Mode,Blind Spot Monitor,Push Start,Automatic Parking,Apple CarPlay",6,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-2715407.jpg,The 2021 Toyota Land Cruiser is a premium vehicle perfect for daily commute.
V03853,Volvo,Model 5,2022,267182,"Power Tailgate,Heated Seats,V6 Engine,Push Start,360 Camera,V8 Engine,Adaptive Cruise,Electric",3,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-4925783.jpg,The 2022 Volvo Model 5 is a premium vehicle perfect for long trips.
V03854,Mazda,Model 2,2023,100656,"Push Start,Premium Sound,Bluetooth,4WD,Android Auto,Navigation,Heated Seats,360 Camera,Lane Assist,Power Tailgate,Sport Mode,Rear Camera,V6 Engine,Blind Spot Monitor,AWD",5,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-3016832.jpg,The 2023 Mazda Model 2 is a premium vehicle perfect for daily commute.
V03855,Mitsubishi,Model 7,2021,155289,"Apple CarPlay,Premium Sound,Electric,Sunroof,Keyless Entry,V8 Engine,Cruise Control,Turbo,Push Start,Hybrid,Automatic Parking,Sport Mode,Lane Assist,LED Headlights",4,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-9933297.jpg,The 2021 Mitsubishi Model 7 is a luxury vehicle perfect for city driving.
V03856,Nissan,Patrol,2024,200190,"Heated Seats,AWD,Sport Mode,V6 Engine,Eco Mode",6,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-8958736.jpg,The 2024 Nissan Patrol is a luxury vehicle perfect for long trips.
V03857,Mazda,Model 6,2021,80348,"Sport Mode,LED Headlights,Wireless Charging,Panoramic Roof,AWD",1,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-5303538.jpg,The 2021 Mazda Model 6 is a sporty vehicle perfect for long trips.
V03858,Lexus,Model 10,2023,195926,"Lane Assist,360 Camera,Sport Mode,Power Tailgate,4WD,Electric,Rear Camera,Panoramic Roof,Apple CarPlay,Ambient Lighting,Hybrid,V8 Engine,Eco Mode,AWD,Navigation",2,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-5273940.jpg,The 2023 Lexus Model 10 is a luxury vehicle perfect for off-road adventures.
V03859,Hyundai,Model 8,2022,295935,"Leather Seats,Power Tailgate,Eco Mode,Android Auto,Automatic Parking,Navigation",6,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-6406776.jpg,The 2022 Hyundai Model 8 is a premium vehicle perfect for long trips.
V03860,BMW,X3,2022,202413,"Ventilated Seats,4WD,Blind Spot Monitor,Keyless Entry,Bluetooth,Android Auto,Adaptive Cruise,Automatic Parking,Sport Mode,Ambient Lighting,Rear Camera,Power Tailgate,Cruise Control",9,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-8357271.jpg,The 2022 BMW X3 is a premium vehicle perfect for daily commute.
V03861,Chevrolet,Model 8,2024,292028,"Leather Seats,Wireless Charging,Air Suspension,Ventilated Seats,Ambient Lighting,4WD,7 Seater,Navigation,V6 Engine,Electric,Keyless Entry,Automatic Parking,V8 Engine,Blind Spot Monitor",2,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-1254180.jpg,The 2024 Chevrolet Model 8 is a sporty vehicle perfect for daily commute.
V03862,Hyundai,Model 6,2020,155983,"Cruise Control,Heated Seats,Adaptive Cruise,Navigation,7 Seater,4WD,Apple CarPlay",5,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-5887028.jpg,The 2020 Hyundai Model 6 is a sporty vehicle perfect for city driving.
V03863,Honda,Odyssey,2024,185831,"Heated Seats,V6 Engine,4WD,Keyless Entry,Navigation,Air Suspension,Sport Mode,V8 Engine,Parking Sensors,Blind Spot Monitor,Turbo,Automatic Parking,Leather Seats",10,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-1417803.jpg,The 2024 Honda Odyssey is a sporty vehicle perfect for city driving.
V03864,Audi,A8,2022,440378,"Cruise Control,4WD,Premium Sound,Hybrid,LED Headlights,Panoramic Roof,Ventilated Seats,Automatic Parking",2,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-1975827.jpg,The 2022 Audi A8 is a luxury vehicle perfect for off-road adventures.
V03865,Porsche,Model 10,2024,590794,"V8 Engine,Sport Mode,V6 Engine,Ambient Lighting,Ventilated Seats,360 Camera,Bluetooth,Leather Seats",0,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-1285537.jpg,The 2024 Porsche Model 10 is a luxury vehicle perfect for daily commute.
V03866,Subaru,Model 9,2020,109787,"V8 Engine,Turbo,Cruise Control,AWD,Blind Spot Monitor,LED Headlights,Premium Sound,Hybrid,Adaptive Cruise,Automatic Parking,Leather Seats,Ventilated Seats,Navigation",1,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-5397709.jpg,The 2020 Subaru Model 9 is a luxury vehicle perfect for daily commute.
